"Country Region","Package Id",Type,"Net Price","Minimum selling price",Data,SMS,Voice,Networks
"United States",change-plus-30days-50gb,sim,32.6,59,"50 GB",500,500,"T-Mobile [5G], Verizon [5G]"
"United States",change-plus-30days-50gb-topup,topup,32.6,59,"50 GB",500,500,"T-Mobile [5G], Verizon [5G]"
"United States",change-plus-7days-1gb,sim,1.7,7,"1 GB",10,10,"T-Mobile [5G], Verizon [5G]"
"United States",change-plus-7days-1gb-topup,topup,1.7,7,"1 GB",10,10,"T-Mobile [5G], Verizon [5G]"
"United States",change-plus-15days-2gb,sim,3.3,12.5,"2 GB",20,20,"T-Mobile [5G], Verizon [5G]"
"United States",change-plus-15days-2gb-topup,topup,3.3,12.5,"2 GB",20,20,"T-Mobile [5G], Verizon [5G]"
France,elan-7days-1gb,sim,0.8,4.5,"1 GB",0,0,"Orange [4G]"
France,elan-7days-1gb-topup,topup,0.8,4.5,"1 GB",0,0,"Orange [4G]"
France,elan-15days-2gb,sim,1.5,6,"2 GB",0,0,"Orange [4G]"
France,elan-15days-2gb-topup,topup,1.5,6,"2 GB",0,0,"Orange [4G]"
France,elan-30days-3gb,sim,2.1,7,"3 GB",0,0,"Orange [4G]"
France,elan-30days-3gb-topup,topup,2.1,7,"3 GB",0,0,"Orange [4G]"
France,elan-30days-5gb,sim,3.2,11,"5 GB",0,0,"Orange [4G]"
France,elan-30days-5gb-topup,topup,3.2,11,"5 GB",0,0,"Orange [4G]"
France,elan-30days-10gb,sim,4.6,16,"10 GB",0,0,"Orange [4G]"
France,elan-30days-10gb-topup,topup,4.6,16,"10 GB",0,0,"Orange [4G]"
France,elan-30days-20gb,sim,7.8,23.5,"20 GB",0,0,"Orange [4G]"
France,elan-30days-20gb-topup,topup,7.8,23.5,"20 GB",0,0,"Orange [4G]"
China,chinacom-15days-unlimited,sim,22.4,49,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-7days-unlimited,sim,11.1,27,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-7days-unlimited-topup,topup,11.1,27,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-5days-unlimited,sim,8.3,19.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-3days-unlimited,sim,5.4,11.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-5days-unlimited-topup,topup,8.3,19.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-3days-unlimited-topup,topup,5.4,11.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-10days-unlimited,sim,15.3,35,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-10days-unlimited-topup,topup,15.3,35,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-15days-unlimited-topup,topup,22.4,49,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-30days-unlimited,sim,43.6,72.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-30days-unlimited-topup,topup,43.6,72.5,Unlimited,0,0,"China Unicom [5G]"
China,chinacom-7days-1gb,sim,1.7,4,"1 GB",0,0,"China Unicom [5G]"
China,chinacom-7days-1gb-topup,topup,1.7,4,"1 GB",0,0,"China Unicom [5G]"
China,chinacom-15days-2gb,sim,2.5,7.5,"2 GB",0,0,"China Unicom [5G]"
China,chinacom-15days-2gb-topup,topup,2.5,7.5,"2 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-3gb,sim,3.2,10.5,"3 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-3gb-topup,topup,3.2,10.5,"3 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-5gb,sim,4.9,15.5,"5 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-5gb-topup,topup,4.9,15.5,"5 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-10gb,sim,7.3,26.5,"10 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-10gb-topup,topup,7.3,26.5,"10 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-20gb,sim,12.6,40,"20 GB",0,0,"China Unicom [5G]"
China,chinacom-30days-20gb-topup,topup,12.6,40,"20 GB",0,0,"China Unicom [5G]"
Spain,guay-mobile-7days-1gb,sim,1.3,4,"1 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-7days-1gb-topup,topup,1.3,4,"1 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-15days-2gb,sim,2.7,6,"2 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-15days-2gb-topup,topup,2.7,6,"2 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-3gb,sim,3.5,7,"3 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-3gb-topup,topup,3.5,7,"3 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-5gb,sim,5.1,10,"5 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-5gb-topup,topup,5.1,10,"5 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-10gb,sim,7.7,15.5,"10 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-10gb-topup,topup,7.7,15.5,"10 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-20gb,sim,13.2,22.5,"20 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-30days-20gb-topup,topup,13.2,22.5,"20 GB",0,0,"Movistar [LTE]"
Spain,guay-mobile-10days-unlimited,sim,16.1,35,Unlimited,0,0,"Movistar [LTE]"
